X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8569337.94425935,4707088.56347702,12001702_12039002,12001702,945.95202637,17TH ST NE & GALES ST NE,13,0eb21d0d3a16099d43e5703be384d2e5,3121,,4979784
-8576600.76884514,4709519.88617003,11002002_11036722,11002002,2418.78491211,20TH ST NW & FLORIDA AVE NW,,4bf50a202bc458e7ff3acd8b7da2716f,1376,,4979788
-8576517.266203,4705484.34299166,14047972_14047972A,14047972,3082.6340332,INDEPENDENCE AVE SW & INDEPENDENCE AVE SW,13,d37e1cff9d8b4f9a979b6d0a6e02a0cc,1253,,4979803
-8571033.0387802,4708039.29352322,12000802_12036722_12055522A,12000802,1661.02197266,8TH ST NE & FLORIDA AVE NE & LINCOLN CIR NE,,6cec8551307571082341b1172c687590,3082,,4979813
-8578678.91045486,4708482.99561464,11065842_11094052,11065842,3381.44311523,O ST NW & WISCONSIN AVE NW,13,76214c3e2466d6b8af4b80bba0e18e77,6134a,,4979824
-8569261.97153851,4708163.81868169,12001702_12057852,12057852,1107.20495605,M ST NE & 17TH ST NE,13,3575a563a08845ff115dc20f8f450ee9,3124,,4979837
-8571718.61937963,4698226.89905154,13000402A_13000402A_13061292_13093602,13061292,786.74499512,MISSISSIPPI AVE SE & 4TH ST SE & WILMINGTON PL SE,13,4c55079f3d1b7eaed64b2ee56e653ab3,4138,,4979866
-8572819.21807652,4706613.21375763,11026912_11064282,11064282,311.78201294,NEW JERSEY AVE NW & D ST NW,,b7593108ee3c6125fe83bdbfc3b2e0e1,2149,,4979868
-8571353.15614542,4703994.87046411,13048842_13057852,13057852,982.72399902,M ST SE & ISAAC HULL AVE SE,13,d2bc5b8c7761abb35ecd4e8ad0c40dd7,2249,,4979869
-8570304.17443446,4706214.87731908,12001302_12025352_12085212,12001302,247.57099915,13TH ST NE & CONSTITUTION AVE NE & TENNESSEE AVE NE,13,a82ef67cd05ee27cad01cf7f93679900,3103,,4979872
-8568425.88164845,4710010.03434945,12015992_12073712,12015992,2304.58496094,BLADENSBURG RD NE & QUEENS CHAPEL RD NE,13,fd775a2b311d65edac1f05a4c0f481ad,3145,,4979897
-8569945.54675008,4702607.27869626,13001402_13059032,13059032,602.55999756,MARION BARRY AVE SE & 14TH ST SE,,8f2c312cfc11b4343499c5d8a3fc294c,4115,,4979898
-8571428.98766046,4705298.56023833,13000602_13069812_13079172,13069812,493.68600464,PENNSYLVANIA AVE SE & 6TH ST SE & SEWARD SQ SE,13,efbe8ccd2087f094c2fe8653e021180f,4018,,4979909
-8574610.81934784,4708166.45432234,11001102_11057852,11057852,1516.41796875,M ST NW & 11TH ST NW,13,eae2cd337f44df063c58a18a1f1ff0c5,2108,,4979922
-8576941.23052324,4706228.86526969,11025352_11044262,11044262,259.65600586,HENRY BACON DR NW & CONSTITUTION AVE NW,13,1716070f9dba088885abf70570b4a228,1180,,4979942
-8577275.75011413,4707746.06273463,36003102_36003302_36004912_36004932,36004912,48.55099869,Ramp-36004912 & Ramp-36003102 & Ramp-36003302 & Ramp-36004932,13,5fdd0453492f34455366b0faa16e33cc,1381,,4979957
-8574593.3299074,4719355.69412061,11009422_11051022,11009422,1291.68505859,ALASKA AVE NW & KALMIA RD NW,13,16565648eb0f18fe82888670786db9e8,5117a,,4979994
-8572609.6719985,4705222.62088616,13026912_14026912_15081252,15081252,280.02398682,SOUTH CAPITOL ST BN & D ST SW & D ST SE,13,056b7fad99237dde8e9b3550eb503a76,2225,,4980004
-8575157.86977037,4710103.20979123,11001402_11090152,11001402,3214.94995117,14TH ST NW & W ST NW,,bf12760ce5aef792e527089926d655fc,5074,,4980006
-8573474.20428535,4708949.31446483,11064282_11072862,11064282,2195.54199219,NEW JERSEY AVE NW & Q ST NW,,8698948c85f46f797e7f528f2dc33a85,3027,,4980008
-8568258.34707535,4701190.62888125,13002502_13009362,13009362,3335.51098633,ALABAMA AVE SE & 25TH ST SE,13,d42e475f65574b5233e85bb19c1ac3f9,4089,,4980013
-8579184.41924672,4714813.21637205,11025152_11027492,11025152,6217.65917969,CONNECTICUT AVE NW & DAVENPORT ST NW,13,775f92e0d6284ffbd86db73f065c6d92,6066,,4980045
-8566554.96150092,4705582.65459737,13003602_13012092_13061162,13012092,358.09698486,B ST SE & 36TH ST SE & MINNESOTA AVE SE,13,92f80c3e7796fa343362c7040eb91c15,4134,,4980057
-8577184.96335453,4705958.55126162,11002302_11060432,11060432,58.30599976,LINCOLN MEMORIAL CIR NW & 23RD ST NW,13,fc97246db5c84ff29139c9351704b171,1361,,4980069
-8578756.91636332,4713866.49563676,11025152_11093992,11093992,187.54200745,WINDOM PL NW & CONNECTICUT AVE NW,13,50568a9abaa1c8a472e392833cafca84,6086,,4980082
-8575665.06833956,4709586.39105356,11001602_11084562,11001602,1763.33496094,16TH ST NW & T ST NW,13,9692c180ac21317f3a201d8a34e79ad4,1060,,4980083
-8574305.83727398,4712556.39148842,11040042_11064222_11076702,11076702,1929.7590332,ROCK CREEK CHURCH RD NW & GEORGIA AVE NW & NEW HAMPSHIRE AVE NW,13,7ef29e9c2fb92a905f314f5ef8724e7e,5139,,4980084
-8580649.61772114,4714808.90474628,11027492_11094052,11027492,1742.16296387,DAVENPORT ST NW & WISCONSIN AVE NW,13,aa955ba3e926ec22f703b91f46ded77b,6133,,4980089
-8569781.28555388,4705516.96074164,13001502_13059602_13081382,13001502,297.22900391,15TH ST SE & SOUTH CAROLINA AVE SE & MASSACHUSETTS AVE SE,13,078aee1a9b59223d534957eca7a9f525,4046b,,4980102
-8571292.69441741,4716176.06032509,12031982_12076052,12076052,1359.71801758,RIGGS RD NE & EASTERN AVE NE,,05aa149c5654a48df682a275575778a3,5190,,4980129
-8574970.98278211,4708706.7630079,11056552_11075462,11075462,1892.26794434,RHODE ISLAND AVE NW & LOGAN CIR NW,13,9f9ad29e4c4bc0e2431587c892a9a5b8,2157g,,4980144
-8574041.01495798,4709120.01509614,11000702_11075462,11075462,1223.47302246,RHODE ISLAND AVE NW & 7TH ST NW,13,65acdfc31a1e695d42b471c5fa079105,3025a,,4980161
-8573819.01799217,4706442.91870166,11000602_11019822,11000602,169.05000305,6TH ST NW & C ST NW,13,5cc45d4a4a1658e30d3fd85314d17137,2038,,4980166
-8576439.66459695,4706783.47468874,11001902_11031332*1,11001902,430.61999512,19TH ST NW & E ST NW,13,24a290cc013885c02a4ad28c25a7679d,1106,,4980183
-8570599.00118921,4712013.79596401,12001202_12061422,12061422,590.81799316,MONROE ST NE & 12TH ST NE,13,6c9bd5a2df0c6f6e42ad3549284866be,3169,,4980195
-8571428.66207442,4705584.8255537,13000602_13047972,13000602,245.38400269,6TH ST SE & INDEPENDENCE AVE SE,13,b09ac228c79fd76d86de1657c39ea94a,4016,,4980199
-8571040.03751129,4705626.68227291,13000802_13065392,13065392,984.59899902,NORTH CAROLINA AVE SE & 8TH ST SE,13,5acebe7ec9195741eb48f38722b0f5d1,4021c,,4980200
-8563326.82802716,4707122.33387819,12029642_12063252,12029642,979.70898438,DIVISION AVE NE & NANNIE HELEN BURROUGHS AVE NE,13,de060a3988ab1523f00fc4aaae382809,4077,,4980209
-8571546.6893694,4706369.62959472,12000502_12019822,12019822,884.43798828,C ST NE & 5TH ST NE,13,ddde92d757b184a269c360692c978a24,3065,,4980217
-8571664.80014377,4705300.09713443,13000402_13065392_13079172,13000402,466.30700684,4TH ST SE & NORTH CAROLINA AVE SE & SEWARD SQ SE,13,0becc0e00b6e256cb47c339b68e21de1,4012,,4980222
-8573189.69456897,4709502.8022963,11000202_11075462_11078912,11078912,452.32400513,SEATON PL NW & RHODE ISLAND AVE NW & 2ND ST NW,13,73dcc8509d6dd30d8f615a88154b492f,3008,,4980240
-8569459.87425228,4705349.058109,13001702_13059602,13001702,427.45401001,17TH ST SE & MASSACHUSETTS AVE SE,,c16fdbaf5ad5ce4e27d2cc1d0b35884c,4053,,4980259
-8575630.48421098,4711461.12798301,11001502_11048752,11048752,2623.86010742,IRVING ST NW & 15TH ST NW,13,6e3e1dd6c2088635dd205c39b1dde5f9,5075,,4980261
-8576489.04896423,4708666.89700706,11031202_11064222,11031202,401,DUPONT CIR NW & NEW HAMPSHIRE AVE NW,13,8fe1fcc79b30af2f59f37a91e47ca5e0,1195,,4980277
-8569459.22801361,4704821.2551622,13001702_13071892,13001702,837.15899658,17TH ST SE & POTOMAC AVE SE,13,c78f8bdb520c2b275f4dea5a1d866588,4054,,4980327
-8576804.09679562,4709757.25189432,11019892_11025152,11025152,1851.55395508,CONNECTICUT AVE NW & CALIFORNIA ST NW,13,3721b2c98eb0f97049da203787618a15,1175,,4980374
-8570297.52318516,4707636.32834988,12001302_12036722,12036722,2051.5690918,FLORIDA AVE NE & 13TH ST NE,13,535cd31e3bcd839fae10f4d0d6ae47ff,3104,,4980376
-8576247.88508791,4706433.10028409,11001802_11019822,11019822,883.74798584,C ST NW & 18TH ST NW,13,f524fdace4bdbb7364b0b98121b8e2dd,1256,,4980383
-8573816.90238435,4706805.0651255,11000602_11031332,11000602,450.14801025,6TH ST NW & E ST NW,13,2a371255c03669f1635c516f7894153e,2041,,4980399
-8576795.66383264,4706980.09470314,11002102_11034382,11034382,2668.08398438,F ST NW & 21ST ST NW,13,2bfa7783f6cd6506b89a3ad05f094da0,1229,,4980401
-8576432.64878074,4708649.9491481,11031202_36004152,11031202,16.21800041,DUPONT CIR NW & Ramp-36004152,13,7c085453d28b215797e615f7f84ca918,1195a,,4980403
-8574105.99811795,4712901.58885702,11064222_11074682,11074682,544.03497314,RANDOLPH ST NW & NEW HAMPSHIRE AVE NW,13,188c32cfdcdd94a6809088d0feac65c0,5008,,4980424
-8575511.59207884,4707387.54488258,11042442_11058302_11089442,11042442,2369.11401367,H ST NW & MADISON PL NW & VERMONT AVE NW,13,6fa54f82b4dc57caf643a6c09ae4196e,1191,,4980429
-8573043.33959996,4704396.18040287,14028662_14047772,14028662,224.33000183,DELAWARE AVE SW & I ST SW,13,63671a44b3709b6662d2bd22e9ae9ef0,2206,,4980435
-8572431.45983879,4703995.34948009,13000052_13057852,13057852,142.18400574,M ST SE & HALF ST SE,13,aed166687c352e186c6284d1c9e9c7c7,2268,,4980442
-8571546.2266638,4706511.92449719,12000502_12019822*1,12019822,700.79101563,C ST NE & 5TH ST NE,13,0a91d2c64fc73ccc767ff49a3ddcdff1,3066,,4980464
-8577696.23653188,4707948.99120472,11002602_11069812,11069812,4117.20605469,PENNSYLVANIA AVE NW & 26TH ST NW,13,52ceef85902e78cf95a648d43de778ff,1173,,4980468
-8576115.45090315,4709877.58693556,11036722_11078972,11036722,3028.4699707,FLORIDA AVE NW & SEATON ST NW,13,ec73d4c56a267420c4bb39b872486334,1235,,4980488
-8572608.51614933,4709004.71622829,15065322_36003672,36003672,0,Ramp-36003672 & NORTH CAPITOL ST BN,14,de08e7190b9112361a5ff8620b5f7118,3038,,4980500
-8575321.93843991,4715332.48710352,11001402_36003362,11001402,7211.43603516,14TH ST NW & Ramp-36003362,13,0af9682035be3632e7e680f1deb2599f,5065a,,4980513
-8573815.59272297,4704395.96356084,14000602_14047772,14000602,702.25097656,6TH ST SW & I ST SW,13,3c43760d3c0151089c28b783ef077379,2197,,4980536
-8562448.5243155,4707125.15083422,12005802_12063252,12005802,955.49401855,58TH ST NE & NANNIE HELEN BURROUGHS AVE NE,13,7d26bf2d0ade606af0b64c057ffc55eb,4076,,4980543
-8576239.11666215,4709162.27468867,11001802_11074162,11074162,2829.26196289,R ST NW & 18TH ST NW,13,f996011c35e992b48092af4b18ff8ce5,1100,,4980552
-8568502.79980663,4711018.06598416,12002402_12038092,12002402,1162.44604492,24TH ST NE & FRANKLIN ST NE,,17ba959eecf70f5903e5065ec19818a1,3158,,4980565
-8572301.60433769,4711222.83487589,12038092_12060582,12060582,241.56900024,MICHIGAN AVE NE & FRANKLIN ST NE,,172c299cb1db8a63b9fe59f51254ef65,5233,,4980607
-8570657.65713784,4706904.79185976,12001102_12059472,12059472,1152.19799805,MARYLAND AVE NE & 11TH ST NE,,42bc5217056045da3dce8e5827eea95c,3097,,4980611
-8574654.45790236,4714780.52306238,11039062_11040042,11039062,1598.02001953,GALLATIN ST NW & GEORGIA AVE NW,13,28445ab8bc84aaa790b3d701b9a4b288,5128,,4980612
-8579662.26463738,4712149.30791897,11057982_11094052,11057982,1496.36999512,MACOMB ST NW & WISCONSIN AVE NW,13,c2c3ed09bace8ecac5a79576f65352e6,6143,,4980613
-8564831.54151225,4707438.68485156,12004402_12047192_12063252,12047192,444.64498901,HUNT PL NE & 44TH ST NE & NANNIE HELEN BURROUGHS AVE NE,13,0c9ad34a067735125f136f7029979ba0,4073,,4980629
-8567027.83657649,4701248.70706579,13017352_13033602,13017352,2267.38208008,BRANCH AVE SE & ERIE ST SE,13,388c579757f3060bf975fd9e33dc868b,4197,,4980630
-8579229.91953286,4709746.63530218,11093082_11094052,11094052,1668.375,WISCONSIN AVE NW & WHITEHAVEN PKWY NW,13,badfffc457ba5ced438dfa8d85cba015,6154a,,4980634
-8571991.78779209,4706673.06418605,12000202_12059602,12000202,599.29199219,2ND ST NE & MASSACHUSETTS AVE NE,13,311bf2810dddc3fcca61054b56fc1560,3050,,4980657
-8577465.72401502,4716174.10117532,11040722_11060642_11067792,11060642,1952.07104492,MILITARY RD NW & GLOVER RD NW & OREGON AVE NW,13,aab826e5229b77d626211dc2150142f6,6111,,4980660
-8569698.74804575,4707476.14730423,12015992_12059472_12062202,12059472,1943.54394531,MARYLAND AVE NE & BLADENSBURG RD NE & MORSE ST NE,,12d50bd8defebc2bac254c70ea392c34,3143,,4980663
-8576600.23394051,4707118.68762923,11002002_11038612,11002002,585.26000977,20TH ST NW & G ST NW,,fa8c77417983d83baadb437979bee64d,1121,,4980664
-8574247.47876078,4712052.8954218,11040042_11068902,11068902,449.90899658,PARK RD NW & GEORGIA AVE NW,13,10c8af2c11f41a6929c2f1d6877fafbe,5140a,,4980668
